,0,1,2,3,4,5,6,7,8,9
0,11.0,9.0,13.0,10.0,16.0,10.0,9.0,11.0,11.0,14.0
1,12.0,15.0,15.0,11.0,14.0,12.0,20.0,17.0,16.0,13.0
2,16.0,9.0,16.0,11.0,15.0,16.0,15.0,16.0,17.0,17.0
3,15.0,18.0,12.0,9.0,21.0,20.0,22.0,24.0,16.0,16.0
4,15.0,19.0,12.0,9.0,23.0,17.0,19.0,25.0,15.0,17.0
5,16.0,19.0,16.0,10.0,21.0,18.0,17.0,21.0,18.0,19.0
6,15.0,21.0,13.0,15.0,20.0,16.0,22.0,25.0,18.0,19.0
7,16.0,19.0,18.0,12.0,20.0,18.0,19.0,27.0,17.0,18.0
8,14.0,21.0,17.0,10.0,21.0,18.0,19.0,28.0,19.0,20.0
9,16.0,21.0,17.0,11.0,23.0,21.0,20.0,28.0,18.0,19.0
10,19.0,20.0,17.0,11.0,21.0,20.0,20.0,25.0,17.0,18.0
11,19.0,23.0,17.0,14.0,20.0,20.0,19.0,26.0,17.0,21.0
12,20.0,19.0,19.0,14.0,22.0,20.0,17.0,26.0,20.0,20.0
13,19.0,22.0,18.0,15.0,22.0,21.0,20.0,27.0,18.0,21.0
14,20.0,24.0,19.0,14.0,21.0,23.0,20.0,27.0,18.0,23.0
15,20.0,24.0,19.0,16.0,21.0,24.0,22.0,26.0,18.0,17.0
16,21.0,22.0,23.0,16.0,19.0,24.0,22.0,27.0,18.0,21.0
17,22.0,24.0,18.0,17.0,18.0,22.0,22.0,23.0,19.0,22.0
18,23.0,22.0,23.0,17.0,24.0,24.0,18.0,26.0,21.0,26.0
19,21.0,19.0,25.0,18.0,24.0,21.0,22.0,20.0,20.0,24.0
20,25.0,21.0,21.0,17.0,22.0,25.0,26.0,24.0,21.0,26.0
21,22.0,26.0,21.0,19.0,26.0,24.0,22.0,20.0,22.0,26.0
22,24.0,20.0,20.0,22.0,27.0,24.0,23.0,25.0,21.0,21.0
23,29.0,27.0,21.0,20.0,24.0,25.0,21.0,25.0,23.0,23.0
24,22.0,22.0,25.0,25.0,26.0,27.0,21.0,23.0,26.0,27.0
25,23.0,24.0,24.0,22.0,26.0,22.0,22.0,26.0,26.0,26.0
26,27.0,21.0,25.0,24.0,25.0,28.0,26.0,20.0,20.0,27.0
27,26.0,26.0,23.0,20.0,27.0,28.0,23.0,25.0,23.0,24.0
28,24.0,24.0,25.0,24.0,28.0,26.0,21.0,25.0,24.0,30.0
29,26.0,23.0,21.0,27.0,27.0,28.0,19.0,22.0,24.0,24.0
30,26.0,22.0,21.0,23.0,27.0,31.0,22.0,29.0,25.0,27.0
