,0,1,2,3,4,5,6,7,8,9
0,13.0,11.0,12.0,14.0,10.0,17.0,11.0,15.0,17.0,11.0
1,18.0,9.0,11.0,10.0,15.0,12.0,11.0,14.0,14.0,12.0
2,14.0,18.0,12.0,14.0,18.0,13.0,13.0,18.0,14.0,13.0
3,16.0,21.0,15.0,14.0,16.0,20.0,12.0,20.0,16.0,13.0
4,19.0,20.0,17.0,14.0,18.0,22.0,13.0,19.0,21.0,12.0
5,21.0,24.0,15.0,17.0,17.0,21.0,13.0,17.0,21.0,11.0
6,20.0,24.0,15.0,16.0,21.0,23.0,13.0,19.0,20.0,14.0
7,23.0,25.0,17.0,18.0,19.0,24.0,14.0,19.0,23.0,17.0
8,22.0,22.0,20.0,17.0,21.0,26.0,13.0,20.0,22.0,17.0
9,23.0,24.0,19.0,14.0,22.0,28.0,15.0,19.0,24.0,16.0
10,20.0,23.0,18.0,18.0,22.0,26.0,16.0,20.0,25.0,15.0
11,22.0,25.0,17.0,14.0,23.0,27.0,16.0,21.0,25.0,16.0
12,22.0,22.0,18.0,14.0,24.0,26.0,14.0,18.0,25.0,18.0
13,22.0,25.0,21.0,16.0,22.0,27.0,14.0,19.0,24.0,17.0
14,24.0,25.0,19.0,19.0,24.0,23.0,14.0,22.0,26.0,19.0
15,26.0,22.0,18.0,18.0,24.0,28.0,13.0,22.0,26.0,16.0
16,26.0,26.0,18.0,20.0,22.0,27.0,14.0,23.0,25.0,16.0
17,26.0,24.0,15.0,18.0,23.0,27.0,15.0,24.0,27.0,20.0
18,26.0,23.0,17.0,19.0,25.0,28.0,15.0,21.0,28.0,19.0
19,23.0,26.0,16.0,20.0,22.0,24.0,18.0,23.0,27.0,19.0
20,27.0,29.0,20.0,23.0,23.0,26.0,17.0,25.0,25.0,20.0
21,24.0,26.0,22.0,21.0,25.0,27.0,16.0,25.0,25.0,18.0
22,26.0,25.0,18.0,22.0,22.0,28.0,20.0,23.0,27.0,20.0
23,25.0,30.0,20.0,25.0,23.0,25.0,19.0,22.0,32.0,21.0
24,25.0,27.0,17.0,24.0,26.0,30.0,21.0,23.0,28.0,21.0
25,26.0,29.0,21.0,24.0,24.0,30.0,22.0,23.0,28.0,21.0
26,24.0,27.0,22.0,24.0,26.0,31.0,17.0,23.0,30.0,22.0
27,26.0,30.0,19.0,22.0,28.0,28.0,19.0,30.0,32.0,23.0
28,25.0,28.0,20.0,28.0,27.0,35.0,19.0,27.0,29.0,23.0
29,28.0,27.0,20.0,23.0,26.0,25.0,17.0,24.0,30.0,27.0
30,23.0,30.0,25.0,25.0,26.0,33.0,22.0,25.0,29.0,22.0
31,25.0,28.0,24.0,25.0,25.0,29.0,20.0,26.0,33.0,24.0
32,27.0,25.0,25.0,29.0,27.0,33.0,17.0,25.0,30.0,23.0
33,26.0,28.0,25.0,24.0,28.0,29.0,20.0,29.0,34.0,24.0
34,26.0,30.0,27.0,27.0,27.0,32.0,22.0,25.0,30.0,24.0
35,28.0,29.0,26.0,27.0,24.0,32.0,23.0,27.0,33.0,28.0
36,23.0,29.0,26.0,31.0,27.0,34.0,20.0,24.0,32.0,27.0
37,30.0,29.0,25.0,29.0,26.0,32.0,21.0,29.0,31.0,28.0
38,28.0,29.0,28.0,30.0,29.0,32.0,24.0,28.0,33.0,27.0
39,30.0,28.0,24.0,26.0,27.0,30.0,21.0,28.0,33.0,27.0
40,27.0,27.0,26.0,28.0,27.0,35.0,25.0,29.0,31.0,28.0
41,27.0,29.0,23.0,29.0,27.0,31.0,20.0,28.0,31.0,26.0
42,31.0,28.0,27.0,28.0,24.0,33.0,26.0,29.0,32.0,31.0
43,32.0,28.0,29.0,30.0,30.0,35.0,23.0,28.0,32.0,27.0
44,29.0,28.0,28.0,24.0,27.0,34.0,23.0,31.0,34.0,26.0
45,29.0,31.0,30.0,32.0,26.0,31.0,25.0,29.0,35.0,29.0
46,29.0,29.0,30.0,30.0,28.0,30.0,26.0,31.0,28.0,29.0
47,29.0,29.0,30.0,30.0,29.0,33.0,25.0,30.0,34.0,30.0
48,29.0,33.0,29.0,29.0,29.0,34.0,25.0,30.0,36.0,29.0
49,28.0,33.0,31.0,32.0,28.0,33.0,20.0,30.0,34.0,27.0
50,30.0,33.0,31.0,31.0,29.0,33.0,28.0,29.0,35.0,32.0
51,28.0,31.0,31.0,33.0,30.0,39.0,25.0,33.0,32.0,31.0
52,32.0,30.0,28.0,32.0,28.0,39.0,24.0,33.0,33.0,31.0
53,36.0,31.0,31.0,31.0,29.0,34.0,24.0,30.0,34.0,29.0
54,36.0,32.0,29.0,34.0,31.0,28.0,24.0,32.0,35.0,27.0
55,31.0,31.0,31.0,31.0,32.0,35.0,28.0,30.0,32.0,28.0
56,34.0,32.0,32.0,36.0,29.0,30.0,23.0,28.0,32.0,28.0
57,33.0,31.0,29.0,31.0,31.0,38.0,25.0,31.0,37.0,33.0
58,28.0,36.0,32.0,32.0,31.0,29.0,28.0,30.0,31.0,31.0
59,28.0,28.0,33.0,28.0,29.0,37.0,22.0,29.0,36.0,32.0
60,29.0,34.0,28.0,33.0,32.0,31.0,29.0,30.0,31.0,32.0
61,36.0,31.0,33.0,29.0,27.0,33.0,25.0,28.0,34.0,30.0
62,37.0,32.0,27.0,35.0,31.0,34.0,28.0,32.0,34.0,32.0
63,35.0,32.0,32.0,35.0,26.0,37.0,26.0,31.0,33.0,31.0
64,36.0,36.0,31.0,39.0,29.0,38.0,26.0,31.0,33.0,33.0
65,37.0,32.0,29.0,33.0,29.0,37.0,30.0,32.0,33.0,30.0
66,40.0,35.0,33.0,35.0,31.0,38.0,24.0,32.0,33.0,33.0
67,37.0,36.0,33.0,33.0,30.0,33.0,26.0,32.0,36.0,29.0
68,34.0,35.0,35.0,36.0,30.0,36.0,28.0,31.0,37.0,32.0
69,37.0,34.0,34.0,32.0,30.0,34.0,31.0,31.0,37.0,30.0
70,33.0,31.0,31.0,35.0,30.0,37.0,29.0,29.0,38.0,35.0
71,37.0,34.0,36.0,33.0,30.0,32.0,30.0,32.0,36.0,33.0
72,37.0,33.0,35.0,38.0,34.0,36.0,28.0,31.0,35.0,32.0
73,38.0,35.0,33.0,33.0,31.0,37.0,30.0,34.0,34.0,31.0
74,36.0,33.0,34.0,31.0,34.0,37.0,27.0,32.0,38.0,30.0
75,38.0,37.0,37.0,32.0,34.0,36.0,28.0,30.0,37.0,28.0
76,34.0,35.0,36.0,35.0,30.0,34.0,28.0,32.0,35.0,32.0
77,38.0,38.0,37.0,38.0,28.0,41.0,28.0,33.0,35.0,32.0
78,33.0,35.0,33.0,36.0,33.0,38.0,29.0,33.0,30.0,33.0
79,35.0,36.0,38.0,37.0,32.0,41.0,28.0,33.0,35.0,33.0
