,0,1,2,3,4,5,6,7,8,9
0,10.0,12.0,10.0,11.0,9.0,14.0,15.0,14.0,15.0,15.0
1,18.0,12.0,7.0,15.0,13.0,13.0,11.0,12.0,12.0,24.0
2,13.0,15.0,10.0,16.0,14.0,15.0,14.0,13.0,18.0,18.0
3,14.0,16.0,11.0,14.0,21.0,17.0,12.0,14.0,23.0,17.0
4,16.0,15.0,10.0,18.0,18.0,14.0,12.0,16.0,23.0,18.0
5,19.0,16.0,13.0,23.0,15.0,14.0,16.0,18.0,25.0,18.0
6,18.0,12.0,11.0,18.0,16.0,12.0,12.0,19.0,21.0,19.0
7,19.0,16.0,11.0,16.0,14.0,15.0,13.0,21.0,24.0,20.0
8,22.0,19.0,15.0,21.0,16.0,17.0,14.0,20.0,26.0,19.0
9,24.0,19.0,15.0,25.0,17.0,15.0,15.0,21.0,26.0,19.0
10,25.0,17.0,16.0,25.0,17.0,15.0,17.0,23.0,22.0,20.0
11,21.0,19.0,15.0,20.0,15.0,17.0,14.0,21.0,24.0,20.0
12,22.0,21.0,16.0,17.0,17.0,19.0,15.0,22.0,27.0,22.0
13,23.0,20.0,16.0,20.0,18.0,19.0,15.0,23.0,26.0,22.0
14,19.0,18.0,15.0,21.0,18.0,16.0,20.0,21.0,29.0,23.0
15,21.0,19.0,18.0,21.0,19.0,18.0,17.0,20.0,23.0,24.0
16,19.0,22.0,19.0,20.0,22.0,19.0,16.0,24.0,26.0,26.0
17,22.0,21.0,22.0,22.0,23.0,18.0,19.0,17.0,27.0,26.0
18,22.0,21.0,21.0,25.0,20.0,20.0,19.0,20.0,28.0,26.0
19,22.0,20.0,21.0,23.0,21.0,18.0,19.0,23.0,28.0,26.0
20,24.0,21.0,26.0,23.0,19.0,24.0,18.0,19.0,27.0,26.0
21,25.0,21.0,23.0,26.0,21.0,22.0,16.0,21.0,25.0,27.0
22,23.0,23.0,22.0,26.0,21.0,21.0,20.0,21.0,28.0,24.0
23,24.0,21.0,23.0,24.0,22.0,20.0,17.0,20.0,29.0,26.0
24,23.0,19.0,23.0,24.0,22.0,25.0,17.0,21.0,31.0,27.0
25,26.0,22.0,26.0,26.0,22.0,25.0,17.0,21.0,28.0,26.0
