,0,1,2,3,4,5,6,7,8,9
0,15.0,13.0,9.0,12.0,15.0,13.0,10.0,15.0,11.0,10.0
1,14.0,15.0,11.0,8.0,19.0,14.0,11.0,20.0,10.0,10.0
2,14.0,16.0,16.0,12.0,14.0,15.0,11.0,16.0,18.0,16.0
3,16.0,15.0,20.0,18.0,22.0,13.0,11.0,19.0,17.0,11.0
4,17.0,16.0,14.0,16.0,21.0,19.0,12.0,24.0,16.0,11.0
5,17.0,17.0,14.0,17.0,17.0,20.0,22.0,22.0,15.0,14.0
6,18.0,16.0,17.0,18.0,17.0,26.0,23.0,22.0,18.0,19.0
7,20.0,16.0,21.0,19.0,19.0,27.0,24.0,25.0,16.0,18.0
8,21.0,16.0,20.0,21.0,21.0,23.0,26.0,22.0,20.0,15.0
9,21.0,17.0,16.0,22.0,22.0,22.0,27.0,22.0,21.0,16.0
10,19.0,16.0,18.0,18.0,19.0,24.0,27.0,20.0,23.0,21.0
11,23.0,19.0,21.0,15.0,21.0,23.0,25.0,20.0,19.0,24.0
12,19.0,18.0,20.0,18.0,19.0,24.0,26.0,19.0,24.0,24.0
13,19.0,18.0,21.0,19.0,17.0,21.0,26.0,20.0,22.0,22.0
14,20.0,18.0,22.0,18.0,20.0,23.0,25.0,21.0,23.0,26.0
15,18.0,22.0,21.0,18.0,18.0,21.0,26.0,22.0,23.0,23.0
16,22.0,20.0,24.0,19.0,19.0,22.0,26.0,22.0,24.0,24.0
17,18.0,22.0,23.0,18.0,20.0,20.0,26.0,23.0,25.0,26.0
18,17.0,22.0,26.0,19.0,18.0,21.0,25.0,25.0,24.0,26.0
19,22.0,20.0,22.0,20.0,20.0,24.0,26.0,23.0,23.0,25.0
20,23.0,23.0,30.0,20.0,20.0,26.0,26.0,24.0,22.0,27.0
21,21.0,23.0,24.0,20.0,19.0,22.0,24.0,27.0,23.0,25.0
22,19.0,21.0,29.0,21.0,21.0,23.0,26.0,21.0,27.0,27.0
23,23.0,22.0,32.0,23.0,22.0,22.0,27.0,28.0,25.0,29.0
24,27.0,21.0,30.0,27.0,23.0,23.0,28.0,23.0,23.0,31.0
25,24.0,26.0,33.0,27.0,20.0,25.0,28.0,28.0,22.0,29.0
26,23.0,23.0,27.0,23.0,21.0,24.0,26.0,20.0,24.0,32.0
27,24.0,25.0,31.0,18.0,24.0,26.0,29.0,25.0,24.0,29.0
28,18.0,24.0,28.0,25.0,21.0,26.0,31.0,26.0,24.0,27.0
29,25.0,26.0,32.0,23.0,24.0,25.0,26.0,24.0,25.0,34.0
30,22.0,26.0,31.0,24.0,23.0,27.0,27.0,25.0,20.0,34.0
31,25.0,26.0,34.0,27.0,22.0,24.0,28.0,30.0,27.0,29.0
32,23.0,27.0,33.0,24.0,22.0,23.0,26.0,22.0,23.0,32.0
33,26.0,28.0,33.0,26.0,23.0,26.0,29.0,28.0,25.0,31.0
34,20.0,28.0,35.0,24.0,26.0,26.0,23.0,28.0,22.0,30.0
35,21.0,29.0,36.0,24.0,22.0,25.0,29.0,28.0,25.0,33.0
36,22.0,25.0,33.0,28.0,25.0,24.0,27.0,26.0,24.0,32.0
37,21.0,30.0,33.0,25.0,26.0,27.0,28.0,32.0,26.0,31.0
38,26.0,24.0,35.0,27.0,23.0,31.0,26.0,32.0,25.0,33.0
39,20.0,30.0,33.0,23.0,28.0,23.0,28.0,26.0,29.0,33.0
40,27.0,26.0,31.0,30.0,23.0,26.0,27.0,28.0,26.0,34.0
41,23.0,26.0,32.0,27.0,26.0,21.0,27.0,26.0,29.0,35.0
42,23.0,28.0,34.0,28.0,23.0,28.0,30.0,30.0,25.0,29.0
43,23.0,29.0,34.0,31.0,24.0,26.0,28.0,31.0,27.0,33.0
44,25.0,30.0,32.0,25.0,27.0,27.0,30.0,27.0,27.0,36.0
45,21.0,31.0,35.0,27.0,25.0,27.0,27.0,30.0,27.0,32.0
46,29.0,28.0,32.0,29.0,24.0,28.0,27.0,22.0,28.0,34.0
47,24.0,31.0,34.0,32.0,29.0,31.0,29.0,28.0,26.0,33.0
48,28.0,27.0,34.0,28.0,28.0,26.0,27.0,27.0,27.0,35.0
49,21.0,27.0,36.0,31.0,25.0,27.0,28.0,28.0,29.0,33.0
50,28.0,35.0,37.0,34.0,26.0,30.0,31.0,29.0,27.0,32.0
51,25.0,27.0,34.0,30.0,27.0,24.0,25.0,28.0,27.0,34.0
52,30.0,30.0,36.0,29.0,25.0,33.0,27.0,28.0,27.0,36.0
53,28.0,27.0,37.0,32.0,23.0,29.0,27.0,27.0,31.0,36.0
54,27.0,29.0,35.0,30.0,28.0,31.0,26.0,32.0,26.0,39.0
55,24.0,31.0,34.0,27.0,29.0,33.0,30.0,28.0,30.0,35.0
56,25.0,28.0,35.0,33.0,26.0,27.0,29.0,31.0,28.0,35.0
57,27.0,31.0,38.0,30.0,30.0,32.0,27.0,28.0,30.0,36.0
58,27.0,31.0,39.0,34.0,28.0,30.0,29.0,27.0,31.0,35.0
59,26.0,32.0,38.0,32.0,29.0,28.0,31.0,29.0,32.0,38.0
60,26.0,33.0,35.0,33.0,27.0,31.0,31.0,28.0,28.0,36.0
61,26.0,28.0,38.0,31.0,28.0,30.0,30.0,27.0,31.0,35.0
62,25.0,33.0,37.0,35.0,29.0,32.0,27.0,24.0,27.0,36.0
63,27.0,28.0,37.0,33.0,30.0,33.0,26.0,31.0,30.0,37.0
64,27.0,32.0,34.0,32.0,27.0,27.0,30.0,28.0,30.0,36.0
65,23.0,27.0,37.0,32.0,28.0,32.0,30.0,35.0,28.0,36.0
66,28.0,32.0,37.0,33.0,29.0,28.0,28.0,28.0,34.0,36.0
67,25.0,35.0,39.0,35.0,30.0,33.0,27.0,26.0,30.0,37.0
68,27.0,33.0,39.0,36.0,28.0,32.0,29.0,28.0,34.0,38.0
69,25.0,33.0,38.0,35.0,29.0,30.0,28.0,29.0,33.0,39.0
70,27.0,30.0,41.0,38.0,29.0,33.0,28.0,33.0,34.0,36.0
71,24.0,33.0,40.0,32.0,30.0,28.0,28.0,29.0,33.0,36.0
72,26.0,35.0,41.0,34.0,30.0,32.0,33.0,32.0,35.0,36.0
73,26.0,35.0,38.0,37.0,31.0,30.0,34.0,32.0,34.0,36.0
74,29.0,34.0,41.0,34.0,31.0,32.0,30.0,31.0,36.0,39.0
75,26.0,30.0,42.0,39.0,30.0,31.0,32.0,33.0,34.0,38.0
76,22.0,33.0,39.0,37.0,31.0,29.0,33.0,28.0,36.0,39.0
77,28.0,32.0,40.0,39.0,31.0,35.0,30.0,34.0,34.0,38.0
78,28.0,32.0,43.0,37.0,30.0,34.0,29.0,32.0,36.0,36.0
79,28.0,30.0,42.0,36.0,30.0,36.0,30.0,36.0,33.0,38.0
80,26.0,34.0,41.0,37.0,28.0,34.0,30.0,33.0,35.0,37.0
81,29.0,36.0,44.0,37.0,28.0,31.0,29.0,35.0,33.0,39.0
82,28.0,34.0,43.0,37.0,30.0,34.0,29.0,31.0,34.0,35.0
83,26.0,32.0,40.0,36.0,32.0,35.0,30.0,30.0,38.0,41.0
84,27.0,33.0,42.0,40.0,30.0,35.0,29.0,29.0,36.0,39.0
85,28.0,32.0,44.0,41.0,28.0,33.0,32.0,35.0,37.0,38.0
86,28.0,34.0,40.0,35.0,31.0,35.0,26.0,27.0,33.0,39.0
87,29.0,30.0,40.0,40.0,28.0,31.0,33.0,34.0,36.0,35.0
88,23.0,33.0,40.0,33.0,31.0,34.0,31.0,29.0,36.0,39.0
89,31.0,35.0,40.0,37.0,29.0,32.0,32.0,33.0,36.0,39.0
90,23.0,32.0,42.0,38.0,31.0,31.0,30.0,29.0,39.0,36.0
91,29.0,35.0,43.0,37.0,27.0,35.0,31.0,30.0,37.0,38.0
92,27.0,34.0,42.0,39.0,29.0,32.0,33.0,33.0,39.0,40.0
93,28.0,33.0,42.0,38.0,29.0,32.0,32.0,33.0,38.0,39.0
94,27.0,32.0,39.0,38.0,28.0,34.0,35.0,30.0,38.0,40.0
95,28.0,32.0,42.0,37.0,28.0,40.0,34.0,31.0,38.0,39.0
96,29.0,33.0,40.0,40.0,29.0,32.0,30.0,32.0,36.0,40.0
