,0,1,2,3,4,5,6,7,8,9
0,15.0,12.0,11.0,10.0,11.0,17.0,10.0,12.0,10.0,15.0
1,15.0,10.0,10.0,16.0,13.0,10.0,12.0,15.0,7.0,16.0
2,15.0,13.0,14.0,17.0,20.0,12.0,14.0,13.0,12.0,12.0
3,22.0,18.0,13.0,16.0,20.0,14.0,14.0,9.0,16.0,15.0
4,24.0,13.0,12.0,19.0,17.0,16.0,14.0,14.0,13.0,19.0
5,27.0,16.0,16.0,20.0,11.0,21.0,17.0,16.0,17.0,23.0
6,24.0,15.0,15.0,22.0,15.0,22.0,15.0,14.0,16.0,24.0
7,25.0,16.0,17.0,21.0,15.0,21.0,16.0,16.0,18.0,20.0
8,29.0,18.0,19.0,19.0,15.0,20.0,17.0,18.0,19.0,19.0
9,28.0,16.0,21.0,20.0,15.0,22.0,18.0,20.0,17.0,24.0
10,29.0,17.0,17.0,19.0,16.0,21.0,19.0,17.0,16.0,25.0
11,27.0,17.0,16.0,19.0,18.0,23.0,21.0,21.0,17.0,28.0
12,30.0,17.0,19.0,19.0,19.0,21.0,19.0,19.0,17.0,20.0
13,29.0,19.0,20.0,19.0,19.0,18.0,21.0,22.0,17.0,22.0
14,26.0,17.0,19.0,19.0,18.0,20.0,18.0,21.0,19.0,27.0
15,32.0,18.0,19.0,22.0,22.0,22.0,24.0,20.0,16.0,24.0
16,28.0,18.0,17.0,22.0,23.0,21.0,22.0,22.0,20.0,24.0
17,31.0,17.0,17.0,22.0,24.0,21.0,22.0,22.0,22.0,25.0
18,34.0,19.0,19.0,18.0,22.0,19.0,22.0,21.0,22.0,28.0
19,25.0,20.0,20.0,22.0,21.0,21.0,18.0,24.0,19.0,27.0
20,30.0,18.0,18.0,19.0,22.0,21.0,23.0,18.0,23.0,27.0
21,32.0,14.0,20.0,20.0,24.0,20.0,20.0,21.0,24.0,30.0
22,31.0,23.0,21.0,24.0,26.0,24.0,23.0,20.0,25.0,26.0
23,32.0,17.0,18.0,21.0,27.0,24.0,21.0,23.0,25.0,29.0
24,29.0,21.0,21.0,24.0,30.0,25.0,21.0,23.0,26.0,29.0
25,25.0,20.0,21.0,24.0,28.0,24.0,22.0,25.0,29.0,32.0
26,33.0,20.0,20.0,20.0,27.0,24.0,24.0,22.0,24.0,31.0
27,32.0,19.0,20.0,26.0,30.0,27.0,21.0,19.0,26.0,29.0
28,21.0,19.0,22.0,20.0,29.0,27.0,24.0,21.0,24.0,32.0
29,29.0,21.0,24.0,23.0,30.0,25.0,26.0,18.0,27.0,28.0
30,26.0,20.0,24.0,23.0,27.0,27.0,24.0,24.0,23.0,34.0
31,28.0,24.0,22.0,21.0,31.0,30.0,24.0,27.0,26.0,30.0
32,31.0,22.0,23.0,26.0,28.0,31.0,23.0,23.0,25.0,33.0
33,33.0,22.0,24.0,20.0,30.0,30.0,26.0,21.0,27.0,34.0
34,30.0,23.0,28.0,24.0,30.0,28.0,23.0,25.0,24.0,34.0
35,30.0,25.0,24.0,27.0,26.0,30.0,24.0,20.0,30.0,31.0
36,31.0,25.0,26.0,23.0,29.0,30.0,27.0,20.0,24.0,35.0
37,30.0,22.0,25.0,25.0,28.0,29.0,23.0,26.0,28.0,30.0
38,31.0,24.0,27.0,26.0,32.0,29.0,27.0,22.0,30.0,33.0
39,33.0,24.0,23.0,27.0,31.0,29.0,25.0,26.0,28.0,30.0
40,37.0,25.0,26.0,27.0,27.0,29.0,29.0,22.0,26.0,36.0
41,31.0,26.0,23.0,25.0,32.0,30.0,28.0,24.0,29.0,31.0
42,36.0,25.0,28.0,28.0,28.0,30.0,29.0,20.0,30.0,31.0
43,30.0,28.0,25.0,26.0,33.0,31.0,30.0,24.0,26.0,34.0
44,35.0,27.0,28.0,26.0,29.0,29.0,30.0,25.0,28.0,34.0
45,33.0,23.0,27.0,29.0,32.0,28.0,28.0,26.0,30.0,35.0
46,32.0,24.0,25.0,27.0,30.0,28.0,29.0,20.0,32.0,35.0
47,35.0,26.0,27.0,29.0,32.0,30.0,27.0,25.0,31.0,34.0
48,35.0,25.0,28.0,27.0,34.0,29.0,30.0,25.0,32.0,37.0
49,33.0,29.0,29.0,29.0,34.0,29.0,27.0,24.0,28.0,36.0
50,27.0,26.0,27.0,30.0,32.0,31.0,25.0,24.0,31.0,37.0
51,31.0,27.0,30.0,29.0,34.0,27.0,28.0,29.0,30.0,38.0
52,34.0,26.0,27.0,30.0,30.0,32.0,27.0,25.0,34.0,33.0
53,35.0,29.0,30.0,31.0,33.0,30.0,31.0,29.0,31.0,38.0
54,33.0,29.0,25.0,30.0,31.0,31.0,26.0,25.0,33.0,35.0
55,32.0,23.0,31.0,28.0,33.0,27.0,29.0,29.0,31.0,32.0
56,35.0,30.0,30.0,29.0,31.0,28.0,27.0,26.0,36.0,36.0
57,34.0,26.0,31.0,30.0,35.0,29.0,28.0,22.0,32.0,35.0
58,34.0,33.0,30.0,28.0,33.0,30.0,25.0,27.0,34.0,35.0
59,35.0,32.0,30.0,30.0,32.0,30.0,29.0,27.0,34.0,34.0
60,35.0,32.0,33.0,27.0,31.0,28.0,28.0,27.0,36.0,34.0
61,39.0,31.0,32.0,30.0,27.0,31.0,29.0,28.0,35.0,37.0
62,35.0,37.0,31.0,29.0,32.0,31.0,28.0,29.0,30.0,41.0
63,34.0,33.0,33.0,30.0,29.0,29.0,30.0,27.0,35.0,40.0
64,39.0,33.0,32.0,32.0,34.0,32.0,29.0,26.0,37.0,35.0
65,36.0,33.0,26.0,30.0,34.0,32.0,30.0,26.0,38.0,39.0
66,35.0,32.0,29.0,31.0,32.0,31.0,29.0,26.0,38.0,40.0
67,38.0,33.0,28.0,30.0,32.0,31.0,32.0,24.0,37.0,40.0
68,36.0,31.0,30.0,32.0,34.0,29.0,28.0,29.0,39.0,37.0
69,39.0,32.0,29.0,29.0,35.0,27.0,29.0,25.0,32.0,41.0
70,37.0,31.0,34.0,30.0,35.0,31.0,25.0,25.0,40.0,43.0
