,0,1,2,3,4,5,6,7,8,9
0,15.0,9.0,11.0,14.0,14.0,10.0,7.0,12.0,15.0,14.0
1,16.0,15.0,12.0,11.0,14.0,17.0,12.0,10.0,12.0,17.0
2,13.0,18.0,15.0,15.0,12.0,20.0,15.0,10.0,19.0,18.0
3,21.0,15.0,20.0,16.0,16.0,22.0,18.0,11.0,21.0,20.0
4,19.0,17.0,14.0,18.0,17.0,18.0,19.0,17.0,18.0,21.0
5,19.0,25.0,18.0,20.0,20.0,18.0,17.0,20.0,15.0,19.0
6,26.0,23.0,16.0,18.0,18.0,19.0,17.0,16.0,15.0,22.0
7,20.0,22.0,16.0,17.0,18.0,20.0,19.0,18.0,18.0,17.0
8,23.0,22.0,21.0,20.0,19.0,22.0,21.0,16.0,20.0,20.0
9,23.0,23.0,19.0,19.0,21.0,20.0,18.0,18.0,21.0,19.0
10,26.0,24.0,16.0,20.0,23.0,19.0,19.0,17.0,18.0,19.0
11,23.0,22.0,15.0,18.0,23.0,19.0,20.0,17.0,19.0,22.0
12,23.0,25.0,16.0,18.0,19.0,22.0,18.0,21.0,18.0,18.0
13,25.0,21.0,19.0,18.0,22.0,23.0,18.0,19.0,19.0,20.0
14,26.0,27.0,20.0,19.0,23.0,21.0,21.0,20.0,19.0,22.0
15,26.0,25.0,17.0,17.0,20.0,25.0,20.0,22.0,21.0,22.0
16,21.0,26.0,18.0,16.0,22.0,24.0,19.0,22.0,21.0,21.0
17,25.0,29.0,19.0,19.0,21.0,26.0,19.0,23.0,18.0,22.0
18,25.0,27.0,21.0,18.0,20.0,23.0,21.0,22.0,21.0,21.0
19,25.0,28.0,20.0,18.0,22.0,23.0,22.0,24.0,23.0,27.0
20,28.0,27.0,15.0,19.0,22.0,22.0,26.0,20.0,22.0,20.0
21,26.0,26.0,22.0,18.0,26.0,26.0,24.0,24.0,23.0,26.0
22,25.0,28.0,18.0,19.0,25.0,23.0,24.0,21.0,19.0,25.0
23,28.0,28.0,19.0,20.0,27.0,27.0,27.0,26.0,23.0,26.0
24,29.0,25.0,23.0,22.0,26.0,27.0,26.0,23.0,22.0,29.0
25,25.0,31.0,18.0,18.0,22.0,24.0,26.0,24.0,22.0,23.0
26,28.0,29.0,18.0,18.0,25.0,26.0,23.0,22.0,22.0,30.0
27,29.0,28.0,22.0,21.0,25.0,27.0,26.0,23.0,23.0,29.0
28,23.0,28.0,20.0,20.0,23.0,26.0,26.0,23.0,26.0,26.0
29,27.0,30.0,25.0,22.0,27.0,27.0,23.0,26.0,24.0,31.0
30,28.0,29.0,22.0,19.0,23.0,26.0,25.0,27.0,23.0,29.0
31,27.0,28.0,17.0,17.0,22.0,28.0,29.0,25.0,24.0,27.0
32,26.0,30.0,24.0,21.0,25.0,25.0,25.0,26.0,24.0,30.0
33,27.0,29.0,22.0,22.0,25.0,32.0,28.0,24.0,24.0,30.0
34,26.0,27.0,23.0,21.0,24.0,27.0,28.0,23.0,27.0,26.0
35,29.0,29.0,21.0,20.0,28.0,25.0,28.0,28.0,20.0,27.0
36,30.0,31.0,21.0,19.0,24.0,29.0,27.0,23.0,29.0,31.0
37,30.0,32.0,22.0,22.0,27.0,26.0,32.0,29.0,21.0,27.0
38,32.0,28.0,22.0,22.0,26.0,27.0,31.0,26.0,28.0,30.0
39,29.0,31.0,22.0,23.0,28.0,26.0,31.0,31.0,24.0,29.0
40,31.0,29.0,27.0,23.0,23.0,30.0,29.0,29.0,30.0,30.0
41,31.0,30.0,23.0,21.0,25.0,32.0,32.0,28.0,24.0,32.0
42,26.0,29.0,22.0,21.0,27.0,26.0,31.0,25.0,28.0,28.0
43,28.0,28.0,26.0,20.0,27.0,28.0,32.0,31.0,24.0,32.0
44,35.0,29.0,23.0,22.0,24.0,28.0,33.0,30.0,28.0,30.0
45,28.0,28.0,27.0,20.0,26.0,30.0,32.0,28.0,25.0,30.0
46,36.0,31.0,22.0,22.0,25.0,28.0,30.0,31.0,28.0,30.0
47,29.0,26.0,26.0,22.0,26.0,29.0,32.0,29.0,25.0,32.0
48,31.0,30.0,27.0,23.0,29.0,30.0,30.0,33.0,28.0,29.0
49,29.0,29.0,22.0,20.0,26.0,33.0,32.0,30.0,27.0,29.0
50,28.0,31.0,30.0,23.0,29.0,29.0,30.0,29.0,27.0,30.0
51,26.0,32.0,28.0,23.0,26.0,32.0,35.0,34.0,26.0,29.0
52,31.0,26.0,23.0,26.0,30.0,31.0,33.0,32.0,29.0,32.0
53,32.0,31.0,27.0,21.0,26.0,29.0,31.0,29.0,27.0,32.0
54,26.0,27.0,24.0,24.0,29.0,30.0,34.0,28.0,27.0,35.0
55,32.0,30.0,30.0,29.0,24.0,31.0,34.0,34.0,30.0,27.0
56,25.0,29.0,25.0,22.0,24.0,29.0,33.0,31.0,28.0,31.0
57,33.0,29.0,28.0,25.0,29.0,34.0,36.0,34.0,27.0,32.0
58,27.0,29.0,27.0,23.0,25.0,31.0,35.0,34.0,28.0,36.0
59,36.0,31.0,24.0,25.0,28.0,29.0,35.0,32.0,29.0,32.0
60,35.0,31.0,26.0,22.0,23.0,30.0,32.0,30.0,27.0,36.0
61,29.0,33.0,21.0,23.0,23.0,30.0,36.0,34.0,28.0,36.0
62,33.0,30.0,29.0,27.0,25.0,33.0,34.0,35.0,28.0,32.0
63,33.0,31.0,25.0,25.0,26.0,30.0,39.0,33.0,32.0,37.0
64,34.0,33.0,24.0,25.0,26.0,28.0,32.0,36.0,26.0,34.0
