,0,1,2,3,4,5,6,7,8,9
0,13.0,12.0,13.0,13.0,16.0,17.0,8.0,9.0,11.0,12.0
1,16.0,20.0,11.0,12.0,15.0,16.0,12.0,19.0,15.0,13.0
2,12.0,13.0,10.0,15.0,16.0,17.0,12.0,20.0,15.0,15.0
3,12.0,20.0,19.0,16.0,21.0,17.0,14.0,17.0,21.0,14.0
4,15.0,21.0,17.0,18.0,20.0,19.0,12.0,14.0,16.0,13.0
5,13.0,19.0,23.0,18.0,19.0,20.0,13.0,14.0,21.0,13.0
6,13.0,18.0,22.0,17.0,18.0,20.0,13.0,18.0,17.0,14.0
7,17.0,24.0,21.0,17.0,19.0,21.0,13.0,22.0,20.0,13.0
8,18.0,22.0,22.0,18.0,19.0,21.0,13.0,25.0,21.0,13.0
9,20.0,22.0,22.0,17.0,22.0,20.0,15.0,24.0,20.0,13.0
10,17.0,18.0,21.0,21.0,18.0,20.0,13.0,26.0,19.0,14.0
11,21.0,18.0,23.0,18.0,20.0,22.0,14.0,25.0,20.0,15.0
12,19.0,22.0,24.0,17.0,20.0,22.0,12.0,27.0,22.0,15.0
13,19.0,21.0,21.0,18.0,22.0,23.0,13.0,25.0,20.0,15.0
14,19.0,24.0,23.0,22.0,24.0,24.0,12.0,29.0,22.0,15.0
15,23.0,24.0,23.0,20.0,23.0,21.0,13.0,28.0,23.0,18.0
16,22.0,23.0,25.0,21.0,25.0,25.0,14.0,26.0,20.0,18.0
17,21.0,27.0,21.0,20.0,27.0,24.0,14.0,27.0,22.0,16.0
18,19.0,30.0,24.0,22.0,28.0,22.0,14.0,28.0,27.0,19.0
19,20.0,21.0,25.0,22.0,23.0,24.0,13.0,28.0,23.0,15.0
20,19.0,30.0,21.0,22.0,26.0,25.0,17.0,29.0,23.0,19.0
21,19.0,27.0,26.0,20.0,24.0,24.0,19.0,27.0,23.0,19.0
22,21.0,30.0,23.0,20.0,24.0,23.0,19.0,28.0,27.0,20.0
23,22.0,30.0,21.0,21.0,25.0,25.0,19.0,30.0,23.0,17.0
24,23.0,33.0,23.0,21.0,24.0,25.0,18.0,29.0,25.0,18.0
25,21.0,35.0,25.0,26.0,26.0,23.0,19.0,32.0,25.0,17.0
26,21.0,31.0,25.0,20.0,23.0,31.0,24.0,32.0,25.0,20.0
27,24.0,30.0,23.0,20.0,25.0,29.0,19.0,30.0,30.0,23.0
28,20.0,30.0,22.0,24.0,21.0,30.0,20.0,30.0,26.0,22.0
29,23.0,30.0,28.0,22.0,26.0,26.0,22.0,29.0,25.0,18.0
30,24.0,32.0,22.0,21.0,28.0,29.0,28.0,27.0,28.0,21.0
31,24.0,30.0,29.0,23.0,24.0,30.0,28.0,27.0,22.0,17.0
32,23.0,33.0,22.0,23.0,26.0,28.0,25.0,31.0,28.0,22.0
33,24.0,33.0,26.0,23.0,25.0,31.0,26.0,32.0,22.0,21.0
34,25.0,31.0,27.0,21.0,24.0,27.0,27.0,32.0,33.0,21.0
35,26.0,33.0,30.0,27.0,26.0,27.0,29.0,32.0,26.0,19.0
36,22.0,33.0,25.0,22.0,23.0,31.0,27.0,32.0,35.0,22.0
37,26.0,31.0,26.0,24.0,24.0,27.0,27.0,31.0,27.0,20.0
38,26.0,32.0,28.0,30.0,23.0,27.0,24.0,31.0,33.0,26.0
39,23.0,35.0,28.0,30.0,24.0,27.0,28.0,33.0,25.0,25.0
40,26.0,35.0,29.0,29.0,28.0,29.0,26.0,34.0,27.0,23.0
41,26.0,32.0,25.0,25.0,22.0,31.0,25.0,34.0,24.0,21.0
42,29.0,35.0,25.0,30.0,26.0,28.0,29.0,32.0,31.0,23.0
43,23.0,36.0,22.0,28.0,25.0,33.0,27.0,32.0,29.0,21.0
44,25.0,37.0,25.0,28.0,28.0,30.0,32.0,27.0,30.0,26.0
45,26.0,37.0,26.0,29.0,22.0,34.0,24.0,32.0,30.0,25.0
46,27.0,33.0,30.0,31.0,28.0,29.0,29.0,29.0,29.0,24.0
47,29.0,36.0,22.0,24.0,29.0,31.0,25.0,35.0,30.0,26.0
48,25.0,32.0,27.0,27.0,29.0,31.0,27.0,35.0,30.0,26.0
49,23.0,37.0,24.0,30.0,26.0,31.0,28.0,31.0,31.0,27.0
50,27.0,36.0,27.0,29.0,25.0,35.0,30.0,29.0,30.0,26.0
51,27.0,38.0,26.0,28.0,29.0,33.0,31.0,32.0,31.0,24.0
52,27.0,38.0,24.0,28.0,25.0,32.0,31.0,35.0,28.0,28.0
53,27.0,36.0,27.0,27.0,35.0,35.0,32.0,33.0,32.0,26.0
54,29.0,33.0,33.0,32.0,28.0,34.0,32.0,33.0,32.0,27.0
55,26.0,37.0,26.0,30.0,31.0,35.0,30.0,34.0,30.0,26.0
56,27.0,38.0,27.0,31.0,30.0,33.0,30.0,35.0,31.0,32.0
57,27.0,37.0,28.0,29.0,31.0,36.0,32.0,32.0,33.0,24.0
58,24.0,38.0,32.0,25.0,31.0,32.0,26.0,36.0,29.0,27.0
59,26.0,37.0,26.0,29.0,29.0,33.0,32.0,33.0,32.0,22.0
60,28.0,40.0,28.0,28.0,28.0,38.0,29.0,36.0,31.0,29.0
61,24.0,37.0,27.0,30.0,28.0,30.0,34.0,36.0,34.0,24.0
