,0,1,2,3,4,5,6,7,8,9
0,9.0,13.0,14.0,9.0,17.0,11.0,13.0,13.0,10.0,9.0
1,17.0,11.0,9.0,14.0,11.0,11.0,12.0,21.0,10.0,10.0
2,15.0,15.0,13.0,14.0,18.0,17.0,16.0,19.0,13.0,15.0
3,19.0,12.0,20.0,14.0,17.0,20.0,15.0,24.0,12.0,14.0
4,23.0,11.0,23.0,15.0,18.0,19.0,18.0,24.0,14.0,15.0
5,21.0,17.0,23.0,14.0,21.0,20.0,17.0,22.0,12.0,14.0
6,23.0,16.0,23.0,17.0,20.0,20.0,18.0,24.0,15.0,17.0
7,24.0,16.0,20.0,19.0,21.0,20.0,18.0,27.0,13.0,18.0
8,24.0,20.0,22.0,18.0,21.0,24.0,20.0,23.0,13.0,17.0
9,24.0,19.0,23.0,16.0,22.0,24.0,25.0,25.0,16.0,16.0
10,23.0,20.0,22.0,15.0,20.0,23.0,20.0,23.0,16.0,14.0
11,22.0,20.0,22.0,19.0,19.0,22.0,21.0,23.0,13.0,15.0
12,23.0,21.0,24.0,17.0,18.0,26.0,26.0,25.0,16.0,14.0
13,26.0,19.0,24.0,21.0,19.0,24.0,24.0,29.0,19.0,14.0
14,26.0,21.0,26.0,20.0,20.0,25.0,24.0,27.0,20.0,16.0
15,26.0,21.0,24.0,16.0,20.0,25.0,25.0,29.0,20.0,13.0
16,28.0,19.0,24.0,22.0,21.0,26.0,24.0,29.0,20.0,15.0
17,27.0,21.0,26.0,20.0,23.0,23.0,26.0,25.0,21.0,17.0
18,28.0,22.0,22.0,21.0,24.0,24.0,26.0,26.0,18.0,19.0
19,26.0,22.0,24.0,21.0,23.0,21.0,29.0,30.0,22.0,18.0
20,27.0,23.0,25.0,22.0,25.0,25.0,27.0,26.0,22.0,18.0
21,27.0,23.0,26.0,21.0,21.0,21.0,28.0,27.0,23.0,19.0
22,27.0,21.0,24.0,21.0,19.0,26.0,29.0,27.0,23.0,16.0
23,28.0,22.0,20.0,24.0,24.0,26.0,29.0,27.0,24.0,17.0
24,26.0,23.0,22.0,26.0,29.0,19.0,30.0,28.0,20.0,18.0
25,27.0,23.0,24.0,27.0,28.0,21.0,27.0,25.0,21.0,21.0
26,25.0,20.0,22.0,24.0,32.0,23.0,26.0,27.0,22.0,23.0
27,27.0,24.0,22.0,24.0,28.0,20.0,30.0,27.0,25.0,18.0
28,27.0,24.0,24.0,23.0,29.0,22.0,28.0,25.0,22.0,22.0
29,28.0,26.0,29.0,22.0,31.0,22.0,27.0,32.0,25.0,22.0
30,27.0,22.0,25.0,25.0,31.0,21.0,28.0,29.0,25.0,25.0
31,24.0,26.0,25.0,25.0,26.0,24.0,31.0,29.0,21.0,19.0
32,27.0,24.0,25.0,27.0,35.0,24.0,28.0,28.0,17.0,23.0
33,27.0,23.0,21.0,26.0,27.0,24.0,29.0,28.0,24.0,24.0
34,24.0,25.0,28.0,27.0,34.0,23.0,28.0,30.0,20.0,24.0
35,30.0,24.0,25.0,28.0,34.0,22.0,30.0,29.0,24.0,21.0
36,27.0,27.0,24.0,27.0,37.0,24.0,31.0,31.0,19.0,25.0
37,30.0,26.0,25.0,27.0,33.0,25.0,31.0,27.0,24.0,23.0
38,27.0,33.0,24.0,27.0,34.0,23.0,29.0,30.0,23.0,24.0
39,25.0,29.0,25.0,28.0,34.0,21.0,28.0,27.0,22.0,26.0
40,29.0,27.0,24.0,24.0,36.0,28.0,28.0,30.0,23.0,24.0
41,31.0,29.0,31.0,31.0,32.0,24.0,29.0,30.0,22.0,24.0
42,28.0,29.0,26.0,30.0,35.0,26.0,29.0,28.0,27.0,24.0
43,32.0,29.0,26.0,29.0,37.0,22.0,30.0,32.0,23.0,25.0
44,33.0,30.0,21.0,28.0,34.0,26.0,29.0,26.0,26.0,27.0
45,28.0,33.0,22.0,26.0,34.0,26.0,32.0,30.0,23.0,24.0
46,30.0,27.0,27.0,28.0,35.0,25.0,31.0,29.0,28.0,25.0
47,30.0,31.0,26.0,27.0,38.0,26.0,30.0,30.0,24.0,26.0
48,30.0,33.0,27.0,28.0,35.0,26.0,29.0,33.0,29.0,23.0
49,31.0,28.0,26.0,30.0,33.0,25.0,27.0,32.0,23.0,29.0
50,30.0,33.0,27.0,28.0,35.0,29.0,31.0,32.0,30.0,24.0
51,29.0,31.0,28.0,29.0,37.0,24.0,29.0,28.0,26.0,31.0
52,31.0,28.0,31.0,32.0,41.0,25.0,29.0,31.0,29.0,29.0
53,30.0,31.0,25.0,33.0,37.0,24.0,30.0,30.0,26.0,30.0
54,33.0,33.0,32.0,27.0,36.0,26.0,31.0,32.0,26.0,28.0
55,32.0,31.0,29.0,30.0,39.0,27.0,28.0,31.0,27.0,31.0
