,0,1,2,3,4,5,6,7,8,9
0,15.0,12.0,11.0,11.0,11.0,12.0,16.0,12.0,8.0,11.0
1,19.0,13.0,18.0,14.0,13.0,13.0,13.0,18.0,12.0,19.0
2,17.0,16.0,19.0,11.0,10.0,11.0,15.0,20.0,12.0,20.0
3,18.0,19.0,14.0,13.0,21.0,11.0,16.0,27.0,11.0,22.0
4,17.0,15.0,16.0,16.0,23.0,15.0,14.0,16.0,11.0,24.0
5,19.0,17.0,17.0,24.0,20.0,15.0,14.0,27.0,11.0,25.0
6,19.0,23.0,20.0,19.0,19.0,16.0,15.0,26.0,14.0,25.0
7,24.0,18.0,24.0,19.0,19.0,18.0,15.0,26.0,15.0,28.0
8,24.0,21.0,23.0,25.0,20.0,23.0,16.0,29.0,14.0,26.0
9,27.0,22.0,27.0,28.0,22.0,26.0,13.0,28.0,16.0,28.0
10,25.0,26.0,27.0,26.0,23.0,25.0,18.0,25.0,16.0,28.0
11,27.0,27.0,25.0,28.0,29.0,25.0,17.0,28.0,19.0,27.0
12,26.0,27.0,28.0,32.0,30.0,25.0,20.0,29.0,19.0,30.0
13,26.0,26.0,30.0,30.0,27.0,25.0,22.0,29.0,21.0,29.0
14,28.0,26.0,28.0,26.0,30.0,31.0,19.0,31.0,20.0,27.0
15,30.0,28.0,25.0,29.0,28.0,32.0,20.0,33.0,20.0,31.0
16,32.0,26.0,31.0,30.0,30.0,33.0,22.0,30.0,21.0,30.0
17,34.0,25.0,30.0,31.0,33.0,28.0,24.0,31.0,22.0,29.0
18,33.0,30.0,29.0,31.0,32.0,31.0,29.0,36.0,23.0,30.0
19,32.0,28.0,30.0,33.0,30.0,35.0,30.0,30.0,24.0,31.0
20,34.0,29.0,29.0,34.0,30.0,28.0,26.0,37.0,25.0,33.0
21,35.0,30.0,29.0,30.0,31.0,32.0,28.0,37.0,26.0,32.0
22,33.0,32.0,30.0,31.0,29.0,38.0,27.0,34.0,27.0,31.0
23,36.0,31.0,33.0,34.0,28.0,33.0,28.0,36.0,26.0,34.0
24,36.0,27.0,31.0,35.0,29.0,34.0,27.0,35.0,28.0,31.0
25,37.0,33.0,32.0,37.0,28.0,38.0,27.0,32.0,28.0,36.0
