,0,1,2,3,4,5,6,7,8,9
0,10.0,8.0,13.0,16.0,11.0,12.0,14.0,13.0,9.0,15.0
1,10.0,13.0,14.0,10.0,16.0,14.0,15.0,16.0,11.0,13.0
2,14.0,19.0,10.0,16.0,13.0,17.0,14.0,14.0,15.0,14.0
3,16.0,25.0,11.0,16.0,19.0,19.0,13.0,25.0,16.0,21.0
4,18.0,23.0,17.0,19.0,21.0,16.0,12.0,25.0,18.0,24.0
5,13.0,24.0,15.0,14.0,17.0,20.0,21.0,26.0,19.0,19.0
6,21.0,24.0,17.0,16.0,23.0,23.0,22.0,28.0,17.0,20.0
7,23.0,30.0,21.0,18.0,24.0,19.0,21.0,31.0,15.0,26.0
8,21.0,27.0,17.0,17.0,29.0,23.0,25.0,30.0,16.0,28.0
9,20.0,26.0,19.0,17.0,26.0,25.0,26.0,30.0,20.0,27.0
10,22.0,28.0,17.0,18.0,27.0,23.0,26.0,37.0,22.0,28.0
11,25.0,31.0,18.0,22.0,26.0,21.0,27.0,32.0,22.0,30.0
12,27.0,29.0,21.0,23.0,27.0,22.0,27.0,31.0,23.0,31.0
13,26.0,31.0,22.0,25.0,29.0,22.0,30.0,35.0,26.0,32.0
14,26.0,29.0,22.0,25.0,30.0,24.0,31.0,42.0,29.0,32.0
15,28.0,33.0,22.0,22.0,28.0,25.0,32.0,40.0,30.0,33.0
16,31.0,31.0,22.0,22.0,33.0,27.0,31.0,40.0,26.0,34.0
17,35.0,33.0,26.0,27.0,34.0,30.0,30.0,39.0,27.0,33.0
18,29.0,33.0,23.0,23.0,30.0,33.0,30.0,41.0,29.0,35.0
19,32.0,32.0,26.0,25.0,33.0,35.0,32.0,42.0,28.0,35.0
20,30.0,34.0,29.0,29.0,33.0,33.0,29.0,38.0,31.0,35.0
21,33.0,34.0,27.0,24.0,28.0,34.0,30.0,39.0,29.0,35.0
22,34.0,31.0,25.0,29.0,37.0,33.0,35.0,40.0,29.0,34.0
23,33.0,33.0,27.0,26.0,31.0,34.0,32.0,41.0,30.0,35.0
24,33.0,32.0,27.0,29.0,35.0,35.0,32.0,40.0,32.0,33.0
25,35.0,35.0,25.0,30.0,33.0,34.0,33.0,40.0,29.0,38.0
26,38.0,35.0,33.0,27.0,29.0,35.0,35.0,43.0,33.0,37.0
27,34.0,35.0,28.0,30.0,36.0,35.0,35.0,44.0,32.0,38.0
28,34.0,36.0,29.0,29.0,34.0,38.0,36.0,42.0,32.0,38.0
29,39.0,38.0,29.0,30.0,36.0,37.0,35.0,44.0,32.0,35.0
30,39.0,35.0,30.0,29.0,32.0,37.0,34.0,47.0,33.0,39.0
31,34.0,35.0,31.0,29.0,39.0,38.0,36.0,44.0,33.0,34.0
32,40.0,34.0,32.0,32.0,38.0,41.0,39.0,47.0,32.0,37.0
33,41.0,35.0,28.0,29.0,34.0,39.0,34.0,47.0,34.0,39.0
34,35.0,36.0,34.0,29.0,37.0,40.0,35.0,48.0,33.0,36.0
35,40.0,38.0,32.0,30.0,40.0,40.0,39.0,47.0,34.0,35.0
36,40.0,35.0,34.0,30.0,40.0,41.0,37.0,44.0,34.0,39.0
37,39.0,39.0,33.0,32.0,40.0,40.0,35.0,49.0,33.0,38.0
38,40.0,37.0,33.0,31.0,43.0,42.0,40.0,44.0,34.0,39.0
39,42.0,37.0,35.0,29.0,43.0,39.0,38.0,49.0,34.0,40.0
40,40.0,36.0,37.0,30.0,45.0,38.0,37.0,47.0,37.0,41.0
41,42.0,35.0,34.0,31.0,46.0,40.0,41.0,46.0,36.0,38.0
42,41.0,39.0,36.0,31.0,41.0,39.0,40.0,49.0,36.0,38.0
43,39.0,39.0,40.0,29.0,45.0,42.0,39.0,47.0,37.0,39.0
44,42.0,37.0,36.0,30.0,42.0,40.0,42.0,49.0,37.0,40.0
45,44.0,41.0,36.0,34.0,43.0,40.0,41.0,49.0,35.0,38.0
46,43.0,42.0,37.0,32.0,45.0,43.0,39.0,49.0,36.0,38.0
47,40.0,40.0,36.0,30.0,46.0,39.0,40.0,49.0,37.0,38.0
48,45.0,42.0,39.0,30.0,46.0,41.0,38.0,47.0,38.0,41.0
49,44.0,42.0,36.0,33.0,46.0,42.0,40.0,48.0,37.0,38.0
50,41.0,39.0,35.0,32.0,47.0,42.0,42.0,50.0,37.0,39.0
51,44.0,38.0,38.0,33.0,44.0,41.0,40.0,49.0,41.0,42.0
52,43.0,41.0,37.0,33.0,45.0,44.0,40.0,50.0,39.0,40.0
53,44.0,38.0,40.0,33.0,43.0,44.0,41.0,49.0,41.0,41.0
54,44.0,40.0,40.0,33.0,47.0,43.0,41.0,52.0,40.0,40.0
55,41.0,41.0,37.0,36.0,44.0,43.0,43.0,51.0,41.0,41.0
56,46.0,40.0,39.0,36.0,45.0,43.0,41.0,52.0,39.0,40.0
57,44.0,41.0,37.0,35.0,45.0,41.0,42.0,51.0,39.0,43.0
58,46.0,42.0,37.0,36.0,48.0,44.0,42.0,51.0,40.0,40.0
59,46.0,43.0,38.0,38.0,47.0,45.0,42.0,50.0,39.0,41.0
60,43.0,40.0,38.0,36.0,45.0,42.0,42.0,51.0,40.0,41.0
61,46.0,41.0,37.0,33.0,48.0,42.0,42.0,50.0,41.0,40.0
62,44.0,41.0,37.0,38.0,47.0,43.0,42.0,51.0,40.0,40.0
63,45.0,40.0,35.0,38.0,47.0,43.0,41.0,51.0,40.0,44.0
64,48.0,40.0,38.0,39.0,50.0,43.0,41.0,52.0,40.0,42.0
65,47.0,44.0,36.0,38.0,48.0,43.0,41.0,50.0,41.0,41.0
66,46.0,41.0,38.0,37.0,49.0,43.0,41.0,51.0,40.0,43.0
67,48.0,41.0,37.0,36.0,48.0,43.0,41.0,50.0,40.0,43.0
68,46.0,42.0,35.0,37.0,48.0,43.0,41.0,52.0,42.0,41.0
69,44.0,42.0,37.0,35.0,47.0,44.0,41.0,50.0,42.0,43.0
70,45.0,42.0,35.0,40.0,47.0,43.0,36.0,52.0,41.0,45.0
71,45.0,41.0,38.0,38.0,48.0,45.0,41.0,51.0,42.0,42.0
72,44.0,43.0,40.0,36.0,46.0,40.0,41.0,50.0,41.0,43.0
73,46.0,45.0,37.0,38.0,48.0,43.0,38.0,50.0,41.0,41.0
74,47.0,42.0,41.0,37.0,48.0,42.0,43.0,49.0,42.0,41.0
75,45.0,43.0,37.0,35.0,48.0,44.0,38.0,49.0,40.0,42.0
76,46.0,45.0,39.0,37.0,47.0,43.0,41.0,51.0,41.0,41.0
77,45.0,45.0,38.0,38.0,46.0,42.0,43.0,48.0,41.0,43.0
78,45.0,43.0,38.0,37.0,47.0,43.0,41.0,51.0,41.0,44.0
79,49.0,43.0,37.0,37.0,46.0,46.0,41.0,51.0,42.0,43.0
80,43.0,43.0,39.0,37.0,48.0,46.0,42.0,50.0,41.0,41.0
81,46.0,43.0,39.0,37.0,48.0,42.0,40.0,47.0,42.0,41.0
82,48.0,44.0,37.0,38.0,48.0,45.0,41.0,49.0,42.0,45.0
83,47.0,44.0,38.0,39.0,47.0,44.0,41.0,50.0,43.0,44.0
