,0,1,2,3,4,5,6,7,8,9
0,11.0,11.0,13.0,12.0,17.0,9.0,10.0,9.0,16.0,10.0
1,12.0,18.0,14.0,12.0,16.0,13.0,11.0,14.0,19.0,18.0
2,16.0,14.0,14.0,8.0,18.0,14.0,14.0,13.0,15.0,17.0
3,17.0,19.0,16.0,19.0,14.0,15.0,12.0,11.0,20.0,20.0
4,21.0,22.0,20.0,21.0,15.0,14.0,16.0,12.0,20.0,22.0
5,18.0,24.0,14.0,22.0,19.0,17.0,20.0,15.0,21.0,23.0
6,23.0,29.0,14.0,25.0,21.0,14.0,19.0,23.0,25.0,22.0
7,22.0,30.0,15.0,26.0,18.0,19.0,19.0,22.0,24.0,22.0
8,23.0,30.0,18.0,24.0,15.0,17.0,21.0,22.0,26.0,23.0
9,24.0,31.0,17.0,25.0,20.0,19.0,24.0,22.0,25.0,25.0
10,27.0,31.0,17.0,22.0,20.0,19.0,23.0,23.0,26.0,28.0
11,25.0,33.0,21.0,27.0,23.0,19.0,26.0,26.0,27.0,28.0
12,26.0,30.0,19.0,27.0,22.0,20.0,22.0,25.0,24.0,31.0
13,26.0,29.0,20.0,29.0,27.0,19.0,25.0,25.0,23.0,31.0
14,28.0,31.0,21.0,28.0,26.0,19.0,26.0,27.0,26.0,31.0
15,29.0,30.0,22.0,30.0,29.0,23.0,27.0,28.0,30.0,32.0
16,31.0,32.0,21.0,31.0,35.0,22.0,27.0,31.0,29.0,35.0
17,28.0,31.0,25.0,31.0,32.0,24.0,28.0,32.0,31.0,35.0
18,30.0,28.0,25.0,29.0,33.0,23.0,26.0,30.0,32.0,30.0
19,29.0,30.0,22.0,32.0,31.0,23.0,27.0,32.0,31.0,34.0
20,29.0,29.0,25.0,33.0,35.0,26.0,27.0,30.0,32.0,35.0
21,28.0,32.0,27.0,29.0,36.0,27.0,28.0,29.0,29.0,37.0
22,29.0,34.0,30.0,30.0,37.0,25.0,27.0,38.0,31.0,38.0
23,30.0,33.0,27.0,32.0,38.0,24.0,28.0,35.0,33.0,35.0
