,0,1,2,3,4,5,6,7,8,9
0,12.0,10.0,12.0,13.0,15.0,12.0,18.0,9.0,12.0,11.0
1,13.0,14.0,12.0,13.0,16.0,16.0,18.0,14.0,14.0,15.0
2,17.0,13.0,16.0,18.0,17.0,17.0,13.0,11.0,13.0,14.0
3,13.0,14.0,18.0,21.0,13.0,16.0,19.0,15.0,11.0,15.0
4,15.0,18.0,22.0,21.0,14.0,21.0,23.0,17.0,12.0,18.0
5,15.0,18.0,18.0,20.0,14.0,18.0,22.0,22.0,14.0,20.0
6,16.0,22.0,21.0,17.0,22.0,21.0,23.0,22.0,16.0,18.0
7,21.0,20.0,21.0,17.0,21.0,24.0,24.0,23.0,22.0,22.0
8,23.0,19.0,24.0,17.0,21.0,25.0,24.0,26.0,22.0,23.0
9,23.0,27.0,26.0,25.0,22.0,26.0,24.0,30.0,22.0,28.0
10,21.0,26.0,22.0,25.0,23.0,27.0,22.0,27.0,24.0,28.0
11,24.0,25.0,22.0,21.0,22.0,23.0,26.0,25.0,24.0,29.0
12,22.0,28.0,25.0,21.0,23.0,23.0,29.0,30.0,24.0,29.0
13,23.0,31.0,25.0,24.0,26.0,24.0,29.0,33.0,26.0,30.0
14,24.0,29.0,24.0,27.0,23.0,26.0,31.0,35.0,26.0,30.0
15,30.0,26.0,30.0,29.0,24.0,26.0,28.0,31.0,27.0,32.0
16,27.0,31.0,27.0,28.0,26.0,24.0,32.0,32.0,28.0,28.0
17,27.0,32.0,26.0,27.0,30.0,27.0,31.0,34.0,30.0,29.0
18,28.0,26.0,29.0,27.0,24.0,27.0,33.0,33.0,29.0,32.0
19,33.0,27.0,29.0,26.0,28.0,27.0,31.0,33.0,31.0,31.0
20,33.0,31.0,27.0,32.0,28.0,28.0,31.0,34.0,29.0,33.0
21,31.0,33.0,31.0,27.0,29.0,27.0,34.0,35.0,30.0,35.0
22,34.0,30.0,29.0,29.0,26.0,30.0,33.0,36.0,29.0,35.0
23,35.0,31.0,31.0,32.0,30.0,30.0,33.0,33.0,33.0,32.0
24,33.0,31.0,31.0,26.0,27.0,29.0,35.0,35.0,31.0,35.0
25,35.0,31.0,34.0,32.0,28.0,30.0,40.0,39.0,28.0,35.0
26,35.0,29.0,32.0,34.0,28.0,29.0,36.0,40.0,32.0,38.0
27,35.0,34.0,35.0,31.0,32.0,29.0,35.0,40.0,33.0,41.0
28,36.0,32.0,34.0,35.0,31.0,29.0,39.0,37.0,32.0,39.0
29,38.0,32.0,33.0,31.0,31.0,32.0,36.0,43.0,34.0,40.0
30,39.0,31.0,35.0,31.0,29.0,30.0,36.0,41.0,32.0,39.0
31,40.0,32.0,29.0,34.0,34.0,34.0,41.0,42.0,32.0,40.0
32,39.0,32.0,34.0,32.0,34.0,32.0,35.0,42.0,34.0,41.0
33,40.0,33.0,31.0,36.0,34.0,31.0,40.0,41.0,34.0,39.0
34,42.0,32.0,31.0,35.0,34.0,33.0,37.0,42.0,35.0,43.0
